category,concept,element_1,element_2,element_3,element_4
internal medicine,Vitamin B12 deficiency causes,Anti-intrinsic factor Ab,Chronic PPI use,Gastric bypass,Metformin
internal medicine,Folate deficiency causes,Sulfasalazine,Trimethoprim,Phenytoin,Methotrexate
internal medicine,Pellagra (B3 deficiency),Dementia,Diarrhea,Casal necklace,Photosensitive dematitis
internal medicine|family medicine,Iron deficiency anemia,Low TIBC,High RDW,Low ferritin,Low MCV
internal medicine,Barrett's esophagus risk factors,Chronic GERD,Male sex,Obesity,Cigarette smoking
internal medicine|family medicine,Hypothyroidism symptoms,Fatigue,Weight gain,Cold intolerance,Constipation
internal medicine|family medicine,Hyperthyroidism symptoms,Palpitations,Weight loss,Heat intolerance,Resting tremor
internal medicine|family medicine,Osteoporosis risk factors,Post menopause,Chronic steroid use,Low calcium,Low vitamin D
internal medicine|family medicine,ACE inhibitors,Lisinopril,Enalapril,Captopril,Ramipril
internal medicine,QTc prolonging drugs,Amiodarone,Haloperidol,Methadone,Azithromycin
internal medicine,Drug-Induced Lupus causes,Hydralazine,Procainamide,Isoniazid,Minocycline
internal medicine,Cushing's syndrome findings,Moon facies,Central obesity,Purple striae,Proximal muscle weakness
internal medicine,RIPE treatment for active Tuberculosis,Rifampin,Isoniazid,Pyrazinamide,Ethambutol
internal medicine|family medicine,Microvascular Complications of Diabetes Mellitus,Retinopathy,Nephropathy,Peripheral neuropathy,Autonomic neuropathy
internal medicine|family medicine,CYP450 inducers,Rifampin,Phenytoin,Carbamazepine,St. John's wort
internal medicine|family medicine,CYP450 inhibitors,Fluconazole,Erythromycin,Amiodarone,Cimetidine
internal medicine,Hemolytic anemia findings,Elevated LDH,Elevated indirect bilirubin,Low haptoglobin,Reticulocytosis
internal medicine,Hypercalcemia causes,Hyperparathyroidism,Malignancy,Sarcoidosis,Vitamin D toxicity
internal medicine|pediatrics,Major Complications of Sickle Cell Disease,Vaso-occlusive episodes,Acute chest syndrome,Ischemic stroke,Splenic sequestration
internal medicine,Drugs that cause gynecomastia,Spironolactone,Cimetidine,Ketoconazole,Digoxin
internal medicine,Drugs associated with agranulocytosis,Clozapine,Methimazole,Carbamazepine,Propylthiouracil
internal medicine,Multiple myeloma findings,Hypercalcemia,Renal insufficiency,Anemia,Lytic bone lesions
internal medicine,Seronegative arthropathies,Ankylosing spondylitis,Reactive arthritis,Psoriatic arthritis,IBD-associated arthropathy
internal medicine,Wilson's disease findings,Kayser-Fleischer rings,Liver disease,Tremors and psychosis,Low serum ceruloplasmin
internal medicine|family medicine,Community-acquired pneumonia organisms,Streptococcus pneumoniae,Mycoplasma pneumoniae,Haemophilus influenzae,Legionella pneumophila
internal medicine,Loop diuretics,Furosemide,Bumetanide,Torsemide,Ethacrynic acid
internal medicine,Aminoglycosides,Gentamicin,Tobramycin,Amikacin,Streptomycin
internal medicine,Peptic ulcer disease risk factors,H. pylori infection,NSAID or aspirin use,Cigarette smoking,Zollinger-Ellison syndrome
internal medicine|surgery,Painless jaundice causes,Pancreatic head adenocarcinoma,Cholangiocarcinoma,Primary sclerosing cholangitis,Ampullary carcinoma
internal medicine|neurology,Peripheral neuropathy causes,Isoniazid,Metronidazole,Vincristine,Paclitaxel
internal medicine,Chronic lymphocytic leukemia,Smudge cells,Lymphadenopathy,Indolent presentation,Autoimmune hemolysis
internal medicine|emergency medicine,AFib with RVR management,Metoprolol,Diltiazem,Amiodarone,Cardioversion
internal medicine,Types of AV block,P-QRS dissociation,"Fixed PR, random QRS drop",Progressive PR prolongation,Constant PR prolongation
internal medicine|emergency medicine,Post-MI complications,Papillary muscle rupture,Free wall rupture,Dressler syndrome,LV aneurysm
internal medicine|emergency medicine,Cardiac tamponade exam,Beck's triad,Pulsus paradoxus,RV diastolic collapse,Distant heart sounds
internal medicine,Infective endocarditis,Duke criteria,Janeway lesions,Osler nodes,Roth spots
surgery|internal medicine,Leriche syndrome,Aortoiliac occlusion,Bilateral claudication,Absent femoral pulses,Erectile dysfunction
emergency medicine,Types of shock,Anaphylaxis,Massive internal bleeding,Saddle PE,Neurogenic
internal medicine,Nasopharyngeal carcinoma,EBV association,Immigrant from Southern China,Nasal obstruction,Unilateral otitis media
internal medicine,Causes of drug-induced liver injury,Isoniazid,Statins,Augmentin,Bactrim
internal medicine,Alcoholic hepatitis,AST:ALT ratio > 2,Elevated alk phos and GGT,Maddrey's discriminant function,Treat with abstinence
internal medicine,Possible cirrhosis meds,Furosemide,Spironolactone,Lactulose,Rifaximin
internal medicine|surgery,Focal nodular hyperplasia,Central stellate scar,Not OCP-related,No malignant potential,Spoke-wheel pattern
internal medicine,Primary sclerosing cholangitis,Beads on string,Associated with UC,p-ANCA positive,Treat with liver transplant
internal medicine|surgery|emergency medicine,Pancreatitis,Hypertriglyceridemia,Pancreatic calcifications,Balthazar score,Low fecal elastase
internal medicine,Paroxysmal nocturnal hemoglobinuria (PNH),PIGA mutation,Intravascular hemolysis,Absent CD55/CD59,Treatment with eculizumab
internal medicine,Causes of thrombocytopenia,Antiplatelet IgG Ab,ADAMTS13 deficiency,PF4-heparin antibodies,Consumption of clotting factors and platelets
internal medicine,APLS antibodies,Lupus anticoagulant,Anti-cardiolipin,Anti-beta2 glycoprotein,ANA
internal medicine|surgery,DVT prophylaxis inpatient,Heparin,Lovenox,Fondaparinux,Bivalirudin
internal medicine,Causes of severe ESR elevation,Infection,Malignancy,Polymyalgia rheumatica,Giant cell arteritis
internal medicine,Tumor lysis syndrome,Hyperuricemia,Hyperphosphatemia,Hyperkalemia,Hyper-LDH
internal medicine,Transfusion reactions,Febrile non-hemolytic,AHTR,TRALI,Delayed hemolytic
internal medicine,Polyarteritis nodosa,Medium-vessel necrotizing vasculitis,Hepatitis B association,String of pearls on angiography,Mononeuritis multiplex
internal medicine,Opportunistic HIV infections (CD4 < 100),HHV-8,JC virus,Cryptococcus neoformans,Mycobacterium avium complex
internal medicine,Chagas disease,Trypanosoma cruzi,Romana's sign,Cardiomyopathy,Megaesophagus
internal medicine,DRESS syndrome causes,Bactrim,Allopurinol,Carbamezapine,Lamotrigene
internal medicine|family medicine,Infections requiring treatment of contacts,Neisseria meningitidis,Pertussis,Scabies,Trichomonas vaginalis
neurology|emergency medicine,Contraindications to tPA,Presenting 12 hrs after symptom onset,BP 190/110,Recent surgery,Platelets < 100k
neurology|emergency medicine,Hemorrhagic stroke management,Elevate head of bed,Transexamic acid,Reverse AC,Blood pressure management
neurology|emergency medicine,Subarachnoid hemorrhage,Thunderclap headache,Xanthochromia on LP,Nimodipine treatment,Endovascular coiling
neurology|emergency medicine,Cerebellar hemorrhage,ipsilateral ataxia + headache + NV + nystagmus,Urgent surgical decompression,SOC with NSg,Dysarthria and vertigo
neurology,Lacunar stroke locations,Basal ganglia,Internal capsule,Corona radiata,Thalamus
neurology|internal medicine,Possible stroke treatments,Aspirin,Statin,DOAC,BP control
neurology|emergency medicine,Septic cavernous sinus thrombosis,Recent facial infection,Chemosis and high fever,Periorbital edema,CN III and VI palsy
neurology,Normal pressure hydrocephalus,Urinary incontinence,Therapeutic LP,Wide-based gait,Cognitive dysfunction
neurology,Alzheimer disease meds,Donepezil,Rivastigmine,Galantamine,Memantine
neurology,Dementia with Lewy bodies,Fluctuating cognition,Memory relatively preserved,Visual hallucinations,Antipsychotic sensitivity
neurology,Frontotemporal dementia,Personality changes,Executive dysfunction,Tau or TDP-43 inclusions,Inappropriate behavior
neurology,Creutzfeldt-Jakob disease,Rapidly progressive dementia,14-3-3 protein in CSF; MRI shows cortical ribboning and basal ganglia T2 hyperintensity,Cortical ribboning,Myoclonus and ataxia
neurology|psychiatry,Wernicke encephalopathy / Korsakoff syndrome,AMS,Thiamine deficiency,Ophthalmoplegia,Ataxic gait
psychiatry|neurology,Extrapyrimadal side effects,Acute dystonia,Akathisia,Parkinsonism,Tardive dyskinesia
neurology,Essential tremor,Strong genetic component,Worsens with intentional movement,Improves with primidone,Improves with alcohol
neurology,Huntington disease,Chorea,Caudate nucleus,Trinucleotide repeat,Anticipation
neurology|psychiatry,REM sleep behavior disorder,Narcolepsy,Antidepressant use,Parkinson disease,Lewy body dementia
neurology,Narcolepsy,Cataplexy,Low hypocretin levels,Shortened REM latency,Treat with modafinil
neurology|pediatrics,Absence seizure,3 Hz spike-and-wave,Brief staring spells,Treat with ethosuximide,Triggered by hyperventilation
neurology|pediatrics,West syndrome,Patient < 1 yo,Hypsarrhythmia on EEG,ACTH Treatment,Vigabitran
neurology|family medicine,Migraine meds,Sumitraptan,Ubrogepant,Zolmitriptan,Ergotamine
neurology,Idiopathic intracranial hypertension,Young obese women,Vitamin A,Elevated LP opening pressure,Acetazolamide
neurology,Guillain-Barre syndrome,Ascending flaccid paralysis,Albuminocytologic dissociation,Campylobacter association,Treat with IVIG
neurology|pediatrics,Neurofibromatosis type 1,Axillary freckling,Cafe-au-lait macules,Lisch nodules,Annual eye exam
neurology|pediatrics,Rett syndrome,X-linked MECP2 mutation,Developmental regression,Breathing irregularities,Stereotyped hand wringing
neurology|pediatrics,Tuberous sclerosis,Shagreen patches,Ash-leaf spots,Cardiac rhabdomyoma,Renal angiomyolipomas
neurology|pediatrics,Sturge-Weber syndrome,Somatic GNAQ mutation,Unilateral port-wine stain,Tram-track calcifications on CT,Ipsilateral glaucoma
neurology,Meniere disease,Unilateral sensorineural hearing loss,Episodic vertigo,Tinnitus,Aural fullness
neurology,Parinaud syndrome,Upward gaze palsy,Collier sign,Convergence-retraction nystagmus,Light-near dissociation
obgyn,Normal pregnancy changes,Increased GFR,Dilutional normocytic anemia,WBC elevated,Increased protein excretion
obgyn,Quad screen,AFP,Estriol,Inhibin A,hCG
obgyn,Gestational diabetes complications,Neonatal hypoglycemia,Fetal macrosomia,Shoulder dystocia,Respiratory distress syndrome
obgyn,Pruritis causes during pregnancy,PUPPP,Cholestasis of pregnancy,Atopic eruption,Skin stretching
obgyn|emergency medicine,Causes of painless bleeding during pregnancy,Threatened abortion,Placenta previa,Vasa previa,Cervical polyps
obgyn,PPROM exam findings,Oligohydramnios on US,Vaginal pooling of fluid,Positive nitrazine test,Positive ferning test
obgyn,Polyhydramnios causes,GI atresia,Maternal diabetes,Fetal anemia,Maternal parvovirus
obgyn,Oligohydramnios cases,PPROM,Renal agenesis,Post-term pregnancy,IUGR
obgyn|internal medicine,Extragenital GCCT infections,Lymphogranuloma venerum,Conjuncitivitis,Pharyngitis,Purulent tenosynovitis
internal medicine,Manifestations of syphilis,Gummas,Painless chancre,Hutchinson teeth,Saber shins
obgyn,US components of BPP,Fetal breathing,Fetal movement,Fetal tone,Amniotic fluid
pediatrics|obgyn,Causes of neonatal hearing loss,CMV,Rubella,Toxoplasmosis,HSV
obgyn|pediatrics,Sequelae of maternal infections,High output heart failure,Intracranial calcifications,Neonatal cataracts,Microcephaly
obgyn|emergency medicine,Causes of postpartum hemorrhage,Uterine atony,Retained products,Genital tract trauma,Coagulopathy
obgyn|pediatrics,Turner syndrome findings,Short stature,Webbed neck,Wide chest,Streak ovaries
surgery|obgyn,Breast masses requiring intervention,Phyllodes tumor,Invasive ductal carcinoma,Infiltrating lobular carcinoma,Inflammatory breast carcinoma
obgyn,Secondary causes of amenorrhea,Primary ovarian insufficiency,Turner syndrome,Kallmann syndrome,Functional hypothalamic amenorrhea
obgyn|family medicine,Contraindications to OCPs,Prior DVT/PE,Active smoking in age > 35 yo,Uncontrolled HTN,Migraine with aura
obgyn,Risk factors for cervical cancer,HPV infection,Multiple sexual partners,Immunosupression,Cigarette smoking
obgyn,Teratogenic medications,Isotretinoin,Depakote,Warfarin,Thalidomide
obgyn|emergency medicine,Risk factors for ectopic pregnancy,PID,Prior ectopic pregnancy,IUD,Prior tubal surgery
pediatrics,Neonatal tachypnea etiologies,Meconium aspiration,Respiratory distress syndrome,Transient tachypnea of the newborn,Diaphragmatic hernia
pediatrics,Causes of neonatal hyperbili,Lactation failure,Hemolytic disease,High RBC turnover,High beta glucuronidase
obgyn|pediatrics,Complications from delivery,Klumpke palsy,Erb palsy,Cephalohematoma,Subgaleal hemorrhage
pediatrics,Manifestations of VACTERL association,Tracheo-esophageal fistula,Anal atresia,Malformed vertebrae,Atrial septal defect
pediatrics,Down syndrome complications,Hirshsprung disease,Congenital heart defects,Duodenal atresia,Intestinal malrotation
pediatrics,Normal findings in 12 mo,Object permanence,Pulls to stand,Separation anxiety,Pincer grasp
pediatrics|internal medicine,X-linked disorders,Bruton's agammaglobulinemia,Hemophilia A,Duchenne muscular dystrophy,Lesch-Nyhan syndrome
pediatrics,PDA-dependent lesions,Pulmonary atresia,Hypoplastic left heart,Tricuspid atresia,Transposition of the great vessels
pediatrics,Associated with iron deficiency,Breath holding spells,Lead poisoning,Microcytic anemia,Eating ice or dirt
pediatrics,Causes of rectal bleeding,Food protein-induced proctocolitis,Intussusception,Meckel diverticulum,Vitamin K deficiency
pediatrics|obgyn,Sexual development disorders,Congenital adrenal hyperplasia,Androgen insensitivity syndrome,5-alpha reductase deficiency,Turner syndrome
pediatrics|family medicine,NSAID-responsive MSK conditions,Transient synovitis of the hip,Leg-Calve-Perthes disease,Osteoid osteoma,Osgood-Schlatter disease
pediatrics,Potter sequence,Pulmonary hypoplasia,Flat facial features,Low-set ears,Recessed chin
pediatrics|family medicine,Vaccines at 2-mo visit,DTaP,Inactivated poliovirus,H. flu type B,Pneumococcal (PCV 13)
pediatrics,Causes of neonatal meningitis,Group B Strep,E coli,Listeria monocytogenes,Klebsiella pneumoniae
pediatrics,DiGeorge syndrome,T-cell deficiency,Hypo-PTH,Truncus arteriosus,Cleft palate
pediatrics,Chediak-Higashi syndrome,Easy bleeding,Peripheral neuropathy,Albinism,Frequent infections
psychiatry,Symptoms of manic episode,Decreased need for sleep,Grandiosity,Pressured speech,Impulsive behavior
psychiatry|family medicine,SSRIs,Fluoxetine,Sertraline,Escitalopram,Paroxetine
psychiatry,BPD mood stabilizeers,Lithium,Depakote,Lamotrigene,Quetiapine
psychiatry|emergency medicine,Indications for benzos,Alcohol withdrawal,Catatonia,Seizures,Delium tremens
psychiatry|family medicine,Major depressive disorder,Decreased REM sleep latency,Hyperactive HPA axis,Elevated cortisol levels,SIGECAPS
psychiatry|internal medicine,Lithium toxicity,New-onset tremor,Hypothyroidism,Diabetes insipidus,Fasciculations
psychiatry,Depakote side effects,Thrombocytopenia,Elevated LFTs,Pancreatitis,Neural tube defects
psychiatry,Protective factors against suicide,Religious belief,Social support,Children at home,Sense of belonging
psychiatry,ECT indications,SI with imminent risk,Severe psychosis,Medication resistant MDD,Catatonia with anorexia
surgery|emergency medicine,Appendicitis,McBurney point tenderness,Rovsing sign,CT A/P,Obturator sign
surgery,SBO,High-pitched bowel sounds,Intestinal adhesions,Air-fluid levels,NG tube decompression
surgery,Sigmoid volvulus,Neurologically impaired patients,Coffee-bean sign on CXR,Sigmoidoscopy,High recurrence rate
surgery,Cecal volvulus,Younger adult patients,Whirl sign,Ectopic cecum,Right hemicolectomy
surgery,Ogilvie syndrome,No anatomic obstruction,Cecal dilitation,IV neostigmine,Colonoscopic decompression
surgery|emergency medicine,Diverticulitis,LLQ pain,CT A/P with contrast,IV antibiotics +/- drainage,Colovesical fistula complication
surgery|emergency medicine,Acute cholecystitis,Murphy sign,Gallbladder wall thickening,Lap chole,Post-op bile duct injury
surgery,Internal hemorrhoids,Painless rectal bleeding,Above the dentate line,Sitz baths,Stool softeners
surgery,Anal abscess,Perianal fluctuance,Enteric gram-negatives,Incision and drainage,Fistula-in-ano complication
surgery,Anal cancer,HPV association,HIV association,Squamous cell carcinoma,Nigro protocol
surgery,Colonic adenocarcinoma (hemicolectomy),Hemicolectomy,CEA monitoring,FOLFOX therapy,Lynch syndrome
surgery|internal medicine,Hepatic adenoma,Long-term OCP use,Risk of spontaneous rupture,No central scar,Surgical resection if >5 cm
surgery|internal medicine,Pyogenic liver abscess,Infected biliary stent or stone,Rim-enhancing liver lesion with air-fluid level,CT-guided drainage,IV metronidazole + ceftriaxone
surgery,Hydatid cyst,Echinococcus granulosus,Eggshell calcifications and daughter cysts,Infected dogs or sheep,Pre-surgical albendazole
surgery|emergency medicine,Rectus sheath hematoma,Epigastric vessels disruption,Carnett sign,Hyperattenuating mass within rectus sheath,Conservative management
surgery|pediatrics,Meckel diverticulum,2% of population, 2 feet from ileocecal valve, 2 inches long,Painless GI bleeding in 2 yo
surgery,Testicular torsion,Absent cremasteric reflex,Absent Doppler flow,Bell clapper deformity,Bilateral orchidopexy
surgery|emergency medicine,Aortic dissection,Stanford type A or B,Chest pain radiating to the back,CT angio or TEE,Marfan syndrome
surgery|emergency medicine,Aortic transection,Rapid deceleration injury,Widened mediastinum, Left hemothorax,NG tube deviation
surgery|emergency medicine,Acute limb ischemia,Poikilothermia, Pallor,Paralysis,Pulselessness
surgery|neurology,Carotid stenosis,Carotid endarterectomy,Duplex ultrasound,Amaurosis fugax,Statin therapy
surgery,Peripheral artery disease (revascularization),ABI < 0.9,Claudication,Smoking cessation,Supervised exercise program
surgery|internal medicine,Chronic venous insufficiency,Incompetent venous valves,Varicose veins, Leg edema, Lipodermatosclerosis
internal medicine|surgery,DVT (IVC filter indications),IVC filter vs DOAC,D-dimer,DOAC,Wells' criteria
surgery,Femoral artery pseudoaneurysm,Post cardiac cath,Systolic bruit,US-guided thrombin injection,Doppler US
surgery|internal medicine,Thromboangiitis obliterans,Young male heavy smokers,Distal limb ischemia,Small- and medium- vessel vasculitis,Smoking cessation
surgery|emergency medicine,Pneumothorax,Apical bleb rupture,Tracheal deviation,Supplemental O2,Chest tube placement
surgery|emergency medicine,Esophageal perforation,Subcutaneous emphysema,Gastrografin esophagram,Left pleural effusion,Hydropneumothorax
surgery|internal medicine,Mesothelioma,Chronic asbestos exposure,Asymmetric pleural thickening,Shipyard work,Talc pleurodesis
surgery,Anterior mediastinal masses,Thymoma,Teratoma,Lymphoma,Thyroid goiter
surgery,Femoral neck fracture,Elderly women with osteoporosis,Garden classification,Hemiarthroplasty or ORIF,Fat embolism syndrome
surgery|pediatrics,SCFE (surgical pinning),Obese adolescents,Acute hip pain,Frog-leg lateral X-ray,Drehmann sign
surgery|family medicine,Carpal tunnel,Thenar atrophy,Phalen test,Tinel tests,Wrist splinting
surgery|internal medicine,Prostate cancer,PSA,Gleason score,Radical prostatectomy,Radiation therapy
surgery|obgyn,Intraductal papilloma,Unilateral bloody nipple discharge,Small subareolar mass,Ductogram or breast MRI,Microdochectomy
surgery|internal medicine,MEN 2A and/or 2B,Thyroid cancer,Pheochromocytoma,Parathyroid hyperplasia,Mucosal neuromas
surgery,Wound VAC contraindications,Malignancy,Necrotic tissue,Untreated osteomyelitis,Exposed organs
surgery|internal medicine,Ranson's criteria,Age > 55 yo,WBC > 16k,LDH > 350,Glucose > 200
surgery|emergency medicine,Acute peritonitis,Rebound tenderness,Involuntary guarding,Abdominal rigidity,Absent bowel sounds
surgery,Causes of SBO,Adhesions,GI malignancy,Volvulus,Incarcerated hernias
